,concept:name,lifecycle:transition,time:timestamp,case:concept:name
65,Check_if_home_insurance_quote_is_requested,complete,1971-02-21 21:07:00+00:00,case[4]
66,Send_acceptance_pack,complete,1971-02-21 21:08:00+00:00,case[4]
67,Verify_repayment_agreement,complete,1971-02-21 21:09:00+00:00,case[4]
68,Approve_application,complete,1971-02-21 21:10:00+00:00,case[4]
69,Loan_application_approved,complete,1971-02-21 21:11:00+00:00,case[4]
70,Finish_process,complete,1971-02-21 21:12:00+00:00,case[4]
71,Loan_application_received,complete,1971-02-21 22:00:00+00:00,case[5]
72,Check_application_form_completeness,complete,1971-02-21 22:01:00+00:00,case[5]
73,Check_credit_history,complete,1971-02-21 22:02:00+00:00,case[5]
74,Asses_loan_risk,complete,1971-02-21 22:03:00+00:00,case[5]
75,Appraise_property,complete,1971-02-21 22:04:00+00:00,case[5]
76,Asses_elegibility,complete,1971-02-21 22:05:00+00:00,case[5]
77,Reject_application,complete,1971-02-21 22:06:00+00:00,case[5]
78,Loan_application_rejected,complete,1971-02-21 22:07:00+00:00,case[5]
79,Finish_process,complete,1971-02-21 22:08:00+00:00,case[5]
80,Loan_application_received,complete,1971-02-21 23:00:00+00:00,case[6]
81,Check_application_form_completeness,complete,1971-02-21 23:01:00+00:00,case[6]
82,Appraise_property,complete,1971-02-21 23:02:00+00:00,case[6]
83,Check_credit_history,complete,1971-02-21 23:03:00+00:00,case[6]
84,Asses_loan_risk,complete,1971-02-21 23:04:00+00:00,case[6]
85,Asses_elegibility,complete,1971-02-21 23:05:00+00:00,case[6]
86,Prepare_acceptance_pack,complete,1971-02-21 23:06:00+00:00,case[6]
87,Check_if_home_insurance_quote_is_requested,complete,1971-02-21 23:07:00+00:00,case[6]
88,Send_home_insurance_quote,complete,1971-02-21 23:08:00+00:00,case[6]
89,Verify_repayment_agreement,complete,1971-02-21 23:09:00+00:00,case[6]
90,Cancel_application,complete,1971-02-21 23:10:00+00:00,case[6]
91,Loan_application_canceled,complete,1971-02-21 23:11:00+00:00,case[6]
92,Finish_process,complete,1971-02-21 23:12:00+00:00,case[6]
93,Loan_application_received,complete,1971-02-22 00:00:00+00:00,case[7]
94,Check_application_form_completeness,complete,1971-02-22 00:01:00+00:00,case[7]
95,Appraise_property,complete,1971-02-22 00:02:00+00:00,case[7]
96,Check_credit_history,complete,1971-02-22 00:03:00+00:00,case[7]
97,Asses_loan_risk,complete,1971-02-22 00:04:00+00:00,case[7]
98,Asses_elegibility,complete,1971-02-22 00:05:00+00:00,case[7]
99,Reject_application,complete,1971-02-22 00:06:00+00:00,case[7]
100,Loan_application_rejected,complete,1971-02-22 00:07:00+00:00,case[7]
101,Finish_process,complete,1971-02-22 00:08:00+00:00,case[7]
102,Loan_application_received,complete,1971-02-22 01:00:00+00:00,case[8]
103,Check_application_form_completeness,complete,1971-02-22 01:01:00+00:00,case[8]
104,Check_credit_history,complete,1971-02-22 01:02:00+00:00,case[8]
105,Asses_loan_risk,complete,1971-02-22 01:03:00+00:00,case[8]
106,Appraise_property,complete,1971-02-22 01:04:00+00:00,case[8]
107,Asses_elegibility,complete,1971-02-22 01:05:00+00:00,case[8]
108,Prepare_acceptance_pack,complete,1971-02-22 01:06:00+00:00,case[8]
109,Check_if_home_insurance_quote_is_requested,complete,1971-02-22 01:07:00+00:00,case[8]
110,Send_home_insurance_quote,complete,1971-02-22 01:08:00+00:00,case[8]
111,Verify_repayment_agreement,complete,1971-02-22 01:09:00+00:00,case[8]
112,Cancel_application,complete,1971-02-22 01:10:00+00:00,case[8]
113,Loan_application_canceled,complete,1971-02-22 01:11:00+00:00,case[8]
114,Finish_process,complete,1971-02-22 01:12:00+00:00,case[8]
115,Loan_application_received,complete,1971-02-22 02:00:00+00:00,case[9]
116,Check_application_form_completeness,complete,1971-02-22 02:01:00+00:00,case[9]
117,Appraise_property,complete,1971-02-22 02:02:00+00:00,case[9]
118,Check_credit_history,complete,1971-02-22 02:03:00+00:00,case[9]
119,Asses_loan_risk,complete,1971-02-22 02:04:00+00:00,case[9]
120,Asses_elegibility,complete,1971-02-22 02:05:00+00:00,case[9]
121,Prepare_acceptance_pack,complete,1971-02-22 02:06:00+00:00,case[9]
122,Check_if_home_insurance_quote_is_requested,complete,1971-02-22 02:07:00+00:00,case[9]
123,Send_acceptance_pack,complete,1971-02-22 02:08:00+00:00,case[9]
124,Verify_repayment_agreement,complete,1971-02-22 02:09:00+00:00,case[9]
125,Approve_application,complete,1971-02-22 02:10:00+00:00,case[9]
126,Loan_application_approved,complete,1971-02-22 02:11:00+00:00,case[9]
127,Finish_process,complete,1971-02-22 02:12:00+00:00,case[9]
128,Loan_application_received,complete,1971-02-22 03:00:00+00:00,case[10]
129,Check_application_form_completeness,complete,1971-02-22 03:01:00+00:00,case[10]
130,Check_credit_history,complete,1971-02-22 03:02:00+00:00,case[10]
131,Asses_loan_risk,complete,1971-02-22 03:03:00+00:00,case[10]
132,Appraise_property,complete,1971-02-22 03:04:00+00:00,case[10]
133,Asses_elegibility,complete,1971-02-22 03:05:00+00:00,case[10]
134,Reject_application,complete,1971-02-22 03:06:00+00:00,case[10]
135,Loan_application_rejected,complete,1971-02-22 03:07:00+00:00,case[10]
136,Finish_process,complete,1971-02-22 03:08:00+00:00,case[10]
137,Loan_application_received,complete,1971-02-22 04:00:00+00:00,case[11]
138,Check_application_form_completeness,complete,1971-02-22 04:01:00+00:00,case[11]
139,Appraise_property,complete,1971-02-22 04:02:00+00:00,case[11]
140,Check_credit_history,complete,1971-02-22 04:03:00+00:00,case[11]
141,Asses_loan_risk,complete,1971-02-22 04:04:00+00:00,case[11]
142,Asses_elegibility,complete,1971-02-22 04:05:00+00:00,case[11]
143,Prepare_acceptance_pack,complete,1971-02-22 04:06:00+00:00,case[11]
144,Check_if_home_insurance_quote_is_requested,complete,1971-02-22 04:07:00+00:00,case[11]
145,Send_home_insurance_quote,complete,1971-02-22 04:08:00+00:00,case[11]
146,Verify_repayment_agreement,complete,1971-02-22 04:09:00+00:00,case[11]
147,Cancel_application,complete,1971-02-22 04:10:00+00:00,case[11]
148,Loan_application_canceled,complete,1971-02-22 04:11:00+00:00,case[11]
149,Finish_process,complete,1971-02-22 04:12:00+00:00,case[11]
150,Loan_application_received,complete,1971-02-22 05:00:00+00:00,case[12]
151,Check_application_form_completeness,complete,1971-02-22 05:01:00+00:00,case[12]
152,Appraise_property,complete,1971-02-22 05:02:00+00:00,case[12]
153,Check_credit_history,complete,1971-02-22 05:03:00+00:00,case[12]
154,Asses_loan_risk,complete,1971-02-22 05:04:00+00:00,case[12]
155,Asses_elegibility,complete,1971-02-22 05:05:00+00:00,case[12]
156,Prepare_acceptance_pack,complete,1971-02-22 05:06:00+00:00,case[12]
157,Check_if_home_insurance_quote_is_requested,complete,1971-02-22 05:07:00+00:00,case[12]
158,Send_acceptance_pack,complete,1971-02-22 05:08:00+00:00,case[12]
159,Verify_repayment_agreement,complete,1971-02-22 05:09:00+00:00,case[12]
160,Approve_application,complete,1971-02-22 05:10:00+00:00,case[12]
161,Loan_application_approved,complete,1971-02-22 05:11:00+00:00,case[12]
162,Finish_process,complete,1971-02-22 05:12:00+00:00,case[12]
163,Loan_application_received,complete,1971-02-22 06:00:00+00:00,case[13]
164,Check_application_form_completeness,complete,1971-02-22 06:01:00+00:00,case[13]
165,Appraise_property,complete,1971-02-22 06:02:00+00:00,case[13]
166,Check_credit_history,complete,1971-02-22 06:03:00+00:00,case[13]
167,Asses_loan_risk,complete,1971-02-22 06:04:00+00:00,case[13]
168,Asses_elegibility,complete,1971-02-22 06:05:00+00:00,case[13]
169,Reject_application,complete,1971-02-22 06:06:00+00:00,case[13]
170,Loan_application_rejected,complete,1971-02-22 06:07:00+00:00,case[13]
171,Finish_process,complete,1971-02-22 06:08:00+00:00,case[13]
172,Loan_application_received,complete,1971-02-22 07:00:00+00:00,case[14]
173,Check_application_form_completeness,complete,1971-02-22 07:01:00+00:00,case[14]
174,Return_application_back_to_applicant,complete,1971-02-22 07:02:00+00:00,case[14]
175,Receive_updated_application,complete,1971-02-22 07:03:00+00:00,case[14]
176,Check_application_form_completeness,complete,1971-02-22 07:04:00+00:00,case[14]
177,Appraise_property,complete,1971-02-22 07:05:00+00:00,case[14]
178,Check_credit_history,complete,1971-02-22 07:06:00+00:00,case[14]
179,Asses_loan_risk,complete,1971-02-22 07:07:00+00:00,case[14]
180,Asses_elegibility,complete,1971-02-22 07:08:00+00:00,case[14]
181,Prepare_acceptance_pack,complete,1971-02-22 07:09:00+00:00,case[14]
182,Check_if_home_insurance_quote_is_requested,complete,1971-02-22 07:10:00+00:00,case[14]
183,Send_home_insurance_quote,complete,1971-02-22 07:11:00+00:00,case[14]
184,Verify_repayment_agreement,complete,1971-02-22 07:12:00+00:00,case[14]
185,Approve_application,complete,1971-02-22 07:13:00+00:00,case[14]
186,Loan_application_approved,complete,1971-02-22 07:14:00+00:00,case[14]
187,Finish_process,complete,1971-02-22 07:15:00+00:00,case[14]
188,Loan_application_received,complete,1971-02-22 08:00:00+00:00,case[15]
189,Check_application_form_completeness,complete,1971-02-22 08:01:00+00:00,case[15]
190,Return_application_back_to_applicant,complete,1971-02-22 08:02:00+00:00,case[15]
191,Receive_updated_application,complete,1971-02-22 08:03:00+00:00,case[15]
192,Check_application_form_completeness,complete,1971-02-22 08:04:00+00:00,case[15]
193,Check_credit_history,complete,1971-02-22 08:05:00+00:00,case[15]
194,Asses_loan_risk,complete,1971-02-22 08:06:00+00:00,case[15]
195,Appraise_property,complete,1971-02-22 08:07:00+00:00,case[15]
196,Asses_elegibility,complete,1971-02-22 08:08:00+00:00,case[15]
197,Reject_application,complete,1971-02-22 08:09:00+00:00,case[15]
198,Loan_application_rejected,complete,1971-02-22 08:10:00+00:00,case[15]
199,Finish_process,complete,1971-02-22 08:11:00+00:00,case[15]
200,Loan_application_received,complete,1971-02-22 09:00:00+00:00,case[16]
201,Check_application_form_completeness,complete,1971-02-22 09:01:00+00:00,case[16]
202,Check_credit_history,complete,1971-02-22 09:02:00+00:00,case[16]
203,Asses_loan_risk,complete,1971-02-22 09:03:00+00:00,case[16]
204,Appraise_property,complete,1971-02-22 09:04:00+00:00,case[16]
205,Asses_elegibility,complete,1971-02-22 09:05:00+00:00,case[16]
206,Prepare_acceptance_pack,complete,1971-02-22 09:06:00+00:00,case[16]
207,Check_if_home_insurance_quote_is_requested,complete,1971-02-22 09:07:00+00:00,case[16]
208,Send_acceptance_pack,complete,1971-02-22 09:08:00+00:00,case[16]
209,Verify_repayment_agreement,complete,1971-02-22 09:09:00+00:00,case[16]
210,Approve_application,complete,1971-02-22 09:10:00+00:00,case[16]
211,Loan_application_approved,complete,1971-02-22 09:11:00+00:00,case[16]
212,Finish_process,complete,1971-02-22 09:12:00+00:00,case[16]
213,Loan_application_received,complete,1971-02-22 10:00:00+00:00,case[17]
214,Check_application_form_completeness,complete,1971-02-22 10:01:00+00:00,case[17]
215,Appraise_property,complete,1971-02-22 10:02:00+00:00,case[17]
216,Check_credit_history,complete,1971-02-22 10:03:00+00:00,case[17]
217,Asses_loan_risk,complete,1971-02-22 10:04:00+00:00,case[17]
218,Asses_elegibility,complete,1971-02-22 10:05:00+00:00,case[17]
219,Prepare_acceptance_pack,complete,1971-02-22 10:06:00+00:00,case[17]
220,Check_if_home_insurance_quote_is_requested,complete,1971-02-22 10:07:00+00:00,case[17]
221,Send_home_insurance_quote,complete,1971-02-22 10:08:00+00:00,case[17]
222,Verify_repayment_agreement,complete,1971-02-22 10:09:00+00:00,case[17]
223,Cancel_application,complete,1971-02-22 10:10:00+00:00,case[17]
224,Loan_application_canceled,complete,1971-02-22 10:11:00+00:00,case[17]
225,Finish_process,complete,1971-02-22 10:12:00+00:00,case[17]
226,Loan_application_received,complete,1971-02-22 11:00:00+00:00,case[18]
227,Check_application_form_completeness,complete,1971-02-22 11:01:00+00:00,case[18]
228,Check_credit_history,complete,1971-02-22 11:02:00+00:00,case[18]
229,Asses_loan_risk,complete,1971-02-22 11:03:00+00:00,case[18]
230,Appraise_property,complete,1971-02-22 11:04:00+00:00,case[18]
231,Asses_elegibility,complete,1971-02-22 11:05:00+00:00,case[18]
232,Prepare_acceptance_pack,complete,1971-02-22 11:06:00+00:00,case[18]
233,Check_if_home_insurance_quote_is_requested,complete,1971-02-22 11:07:00+00:00,case[18]
234,Send_acceptance_pack,complete,1971-02-22 11:08:00+00:00,case[18]
235,Verify_repayment_agreement,complete,1971-02-22 11:09:00+00:00,case[18]
236,Approve_application,complete,1971-02-22 11:10:00+00:00,case[18]
237,Loan_application_approved,complete,1971-02-22 11:11:00+00:00,case[18]
238,Finish_process,complete,1971-02-22 11:12:00+00:00,case[18]
239,Loan_application_received,complete,1971-02-22 12:00:00+00:00,case[19]
240,Check_application_form_completeness,complete,1971-02-22 12:01:00+00:00,case[19]
241,Return_application_back_to_applicant,complete,1971-02-22 12:02:00+00:00,case[19]
242,Receive_updated_application,complete,1971-02-22 12:03:00+00:00,case[19]
243,Check_application_form_completeness,complete,1971-02-22 12:04:00+00:00,case[19]
244,Return_application_back_to_applicant,complete,1971-02-22 12:05:00+00:00,case[19]
245,Receive_updated_application,complete,1971-02-22 12:06:00+00:00,case[19]
246,Check_application_form_completeness,complete,1971-02-22 12:07:00+00:00,case[19]
247,Return_application_back_to_applicant,complete,1971-02-22 12:08:00+00:00,case[19]
248,Receive_updated_application,complete,1971-02-22 12:09:00+00:00,case[19]
249,Check_application_form_completeness,complete,1971-02-22 12:10:00+00:00,case[19]
250,Check_credit_history,complete,1971-02-22 12:11:00+00:00,case[19]
251,Asses_loan_risk,complete,1971-02-22 12:12:00+00:00,case[19]
252,Appraise_property,complete,1971-02-22 12:13:00+00:00,case[19]
253,Asses_elegibility,complete,1971-02-22 12:14:00+00:00,case[19]
254,Reject_application,complete,1971-02-22 12:15:00+00:00,case[19]
255,Loan_application_rejected,complete,1971-02-22 12:16:00+00:00,case[19]
256,Finish_process,complete,1971-02-22 12:17:00+00:00,case[19]
257,Loan_application_received,complete,1971-02-22 13:00:00+00:00,case[20]
258,Check_application_form_completeness,complete,1971-02-22 13:01:00+00:00,case[20]
259,Return_application_back_to_applicant,complete,1971-02-22 13:02:00+00:00,case[20]
260,Receive_updated_application,complete,1971-02-22 13:03:00+00:00,case[20]
261,Check_application_form_completeness,complete,1971-02-22 13:04:00+00:00,case[20]
262,Return_application_back_to_applicant,complete,1971-02-22 13:05:00+00:00,case[20]
263,Receive_updated_application,complete,1971-02-22 13:06:00+00:00,case[20]
264,Check_application_form_completeness,complete,1971-02-22 13:07:00+00:00,case[20]
265,Return_application_back_to_applicant,complete,1971-02-22 13:08:00+00:00,case[20]
266,Receive_updated_application,complete,1971-02-22 13:09:00+00:00,case[20]
267,Check_application_form_completeness,complete,1971-02-22 13:10:00+00:00,case[20]
268,Check_credit_history,complete,1971-02-22 13:11:00+00:00,case[20]
269,Asses_loan_risk,complete,1971-02-22 13:12:00+00:00,case[20]
270,Appraise_property,complete,1971-02-22 13:13:00+00:00,case[20]
271,Asses_elegibility,complete,1971-02-22 13:14:00+00:00,case[20]
272,Prepare_acceptance_pack,complete,1971-02-22 13:15:00+00:00,case[20]
273,Check_if_home_insurance_quote_is_requested,complete,1971-02-22 13:16:00+00:00,case[20]
274,Send_home_insurance_quote,complete,1971-02-22 13:17:00+00:00,case[20]
275,Verify_repayment_agreement,complete,1971-02-22 13:18:00+00:00,case[20]
276,Approve_application,complete,1971-02-22 13:19:00+00:00,case[20]
277,Loan_application_approved,complete,1971-02-22 13:20:00+00:00,case[20]
278,Finish_process,complete,1971-02-22 13:21:00+00:00,case[20]
279,Loan_application_received,complete,1971-02-22 14:00:00+00:00,case[21]
280,Check_application_form_completeness,complete,1971-02-22 14:01:00+00:00,case[21]
281,Appraise_property,complete,1971-02-22 14:02:00+00:00,case[21]
282,Check_credit_history,complete,1971-02-22 14:03:00+00:00,case[21]
283,Asses_loan_risk,complete,1971-02-22 14:04:00+00:00,case[21]
284,Asses_elegibility,complete,1971-02-22 14:05:00+00:00,case[21]
285,Reject_application,complete,1971-02-22 14:06:00+00:00,case[21]
286,Loan_application_rejected,complete,1971-02-22 14:07:00+00:00,case[21]
287,Finish_process,complete,1971-02-22 14:08:00+00:00,case[21]
288,Loan_application_received,complete,1971-02-22 15:00:00+00:00,case[22]
289,Check_application_form_completeness,complete,1971-02-22 15:01:00+00:00,case[22]
290,Return_application_back_to_applicant,complete,1971-02-22 15:02:00+00:00,case[22]
291,Receive_updated_application,complete,1971-02-22 15:03:00+00:00,case[22]
292,Check_application_form_completeness,complete,1971-02-22 15:04:00+00:00,case[22]
293,Appraise_property,complete,1971-02-22 15:05:00+00:00,case[22]
294,Check_credit_history,complete,1971-02-22 15:06:00+00:00,case[22]
295,Asses_loan_risk,complete,1971-02-22 15:07:00+00:00,case[22]
296,Asses_elegibility,complete,1971-02-22 15:08:00+00:00,case[22]
297,Reject_application,complete,1971-02-22 15:09:00+00:00,case[22]
298,Loan_application_rejected,complete,1971-02-22 15:10:00+00:00,case[22]
299,Finish_process,complete,1971-02-22 15:11:00+00:00,case[22]
300,Loan_application_received,complete,1971-02-22 16:00:00+00:00,case[23]
301,Check_application_form_completeness,complete,1971-02-22 16:01:00+00:00,case[23]
302,Appraise_property,complete,1971-02-22 16:02:00+00:00,case[23]
303,Check_credit_history,complete,1971-02-22 16:03:00+00:00,case[23]
304,Asses_loan_risk,complete,1971-02-22 16:04:00+00:00,case[23]
305,Asses_elegibility,complete,1971-02-22 16:05:00+00:00,case[23]
306,Reject_application,complete,1971-02-22 16:06:00+00:00,case[23]
307,Loan_application_rejected,complete,1971-02-22 16:07:00+00:00,case[23]
308,Finish_process,complete,1971-02-22 16:08:00+00:00,case[23]
309,Loan_application_received,complete,1971-02-22 17:00:00+00:00,case[24]
310,Check_application_form_completeness,complete,1971-02-22 17:01:00+00:00,case[24]
311,Appraise_property,complete,1971-02-22 17:02:00+00:00,case[24]
312,Check_credit_history,complete,1971-02-22 17:03:00+00:00,case[24]
313,Asses_loan_risk,complete,1971-02-22 17:04:00+00:00,case[24]
314,Asses_elegibility,complete,1971-02-22 17:05:00+00:00,case[24]
315,Prepare_acceptance_pack,complete,1971-02-22 17:06:00+00:00,case[24]
316,Check_if_home_insurance_quote_is_requested,complete,1971-02-22 17:07:00+00:00,case[24]
317,Send_home_insurance_quote,complete,1971-02-22 17:08:00+00:00,case[24]
318,Verify_repayment_agreement,complete,1971-02-22 17:09:00+00:00,case[24]
319,Approve_application,complete,1971-02-22 17:10:00+00:00,case[24]
320,Loan_application_approved,complete,1971-02-22 17:11:00+00:00,case[24]
321,Finish_process,complete,1971-02-22 17:12:00+00:00,case[24]
322,Loan_application_received,complete,1971-02-22 18:00:00+00:00,case[25]
323,Check_application_form_completeness,complete,1971-02-22 18:01:00+00:00,case[25]
324,Check_credit_history,complete,1971-02-22 18:02:00+00:00,case[25]
325,Asses_loan_risk,complete,1971-02-22 18:03:00+00:00,case[25]
326,Appraise_property,complete,1971-02-22 18:04:00+00:00,case[25]
327,Asses_elegibility,complete,1971-02-22 18:05:00+00:00,case[25]
328,Prepare_acceptance_pack,complete,1971-02-22 18:06:00+00:00,case[25]
329,Check_if_home_insurance_quote_is_requested,complete,1971-02-22 18:07:00+00:00,case[25]
330,Send_acceptance_pack,complete,1971-02-22 18:08:00+00:00,case[25]
331,Verify_repayment_agreement,complete,1971-02-22 18:09:00+00:00,case[25]
332,Approve_application,complete,1971-02-22 18:10:00+00:00,case[25]
333,Loan_application_approved,complete,1971-02-22 18:11:00+00:00,case[25]
334,Finish_process,complete,1971-02-22 18:12:00+00:00,case[25]
335,Loan_application_received,complete,1971-02-22 19:00:00+00:00,case[26]
336,Check_application_form_completeness,complete,1971-02-22 19:01:00+00:00,case[26]
337,Return_application_back_to_applicant,complete,1971-02-22 19:02:00+00:00,case[26]
338,Receive_updated_application,complete,1971-02-22 19:03:00+00:00,case[26]
339,Check_application_form_completeness,complete,1971-02-22 19:04:00+00:00,case[26]
340,Return_application_back_to_applicant,complete,1971-02-22 19:05:00+00:00,case[26]
341,Receive_updated_application,complete,1971-02-22 19:06:00+00:00,case[26]
342,Check_application_form_completeness,complete,1971-02-22 19:07:00+00:00,case[26]
343,Return_application_back_to_applicant,complete,1971-02-22 19:08:00+00:00,case[26]
344,Receive_updated_application,complete,1971-02-22 19:09:00+00:00,case[26]
345,Check_application_form_completeness,complete,1971-02-22 19:10:00+00:00,case[26]
346,Appraise_property,complete,1971-02-22 19:11:00+00:00,case[26]
347,Check_credit_history,complete,1971-02-22 19:12:00+00:00,case[26]
348,Asses_loan_risk,complete,1971-02-22 19:13:00+00:00,case[26]
349,Asses_elegibility,complete,1971-02-22 19:14:00+00:00,case[26]
350,Reject_application,complete,1971-02-22 19:15:00+00:00,case[26]
351,Loan_application_rejected,complete,1971-02-22 19:16:00+00:00,case[26]
352,Finish_process,complete,1971-02-22 19:17:00+00:00,case[26]
353,Loan_application_received,complete,1971-02-22 20:00:00+00:00,case[27]
354,Check_application_form_completeness,complete,1971-02-22 20:01:00+00:00,case[27]
355,Appraise_property,complete,1971-02-22 20:02:00+00:00,case[27]
356,Check_credit_history,complete,1971-02-22 20:03:00+00:00,case[27]
357,Asses_loan_risk,complete,1971-02-22 20:04:00+00:00,case[27]
358,Asses_elegibility,complete,1971-02-22 20:05:00+00:00,case[27]
359,Prepare_acceptance_pack,complete,1971-02-22 20:06:00+00:00,case[27]
360,Check_if_home_insurance_quote_is_requested,complete,1971-02-22 20:07:00+00:00,case[27]
361,Send_acceptance_pack,complete,1971-02-22 20:08:00+00:00,case[27]
362,Verify_repayment_agreement,complete,1971-02-22 20:09:00+00:00,case[27]
363,Approve_application,complete,1971-02-22 20:10:00+00:00,case[27]
364,Loan_application_approved,complete,1971-02-22 20:11:00+00:00,case[27]
365,Finish_process,complete,1971-02-22 20:12:00+00:00,case[27]
366,Loan_application_received,complete,1971-02-22 21:00:00+00:00,case[28]
367,Check_application_form_completeness,complete,1971-02-22 21:01:00+00:00,case[28]
368,Check_credit_history,complete,1971-02-22 21:02:00+00:00,case[28]
369,Asses_loan_risk,complete,1971-02-22 21:03:00+00:00,case[28]
370,Appraise_property,complete,1971-02-22 21:04:00+00:00,case[28]
371,Asses_elegibility,complete,1971-02-22 21:05:00+00:00,case[28]
372,Prepare_acceptance_pack,complete,1971-02-22 21:06:00+00:00,case[28]
373,Check_if_home_insurance_quote_is_requested,complete,1971-02-22 21:07:00+00:00,case[28]
374,Send_home_insurance_quote,complete,1971-02-22 21:08:00+00:00,case[28]
375,Verify_repayment_agreement,complete,1971-02-22 21:09:00+00:00,case[28]
376,Cancel_application,complete,1971-02-22 21:10:00+00:00,case[28]
377,Loan_application_canceled,complete,1971-02-22 21:11:00+00:00,case[28]
378,Finish_process,complete,1971-02-22 21:12:00+00:00,case[28]
379,Loan_application_received,complete,1971-02-22 22:00:00+00:00,case[29]
